"id","tool_name","bleu_score","cosine_similarity","lsa_score"
215,"Marefa","0.06997996803063669","0.2522961422041656","0.1590897625126841"
216,"MarianMT","0.2769660246932884","0.47996159776531117","0.3310688233885111"
217,"Fine-tuned MarianMT","0.16224509666365633","0.31006234916450465","0.20650520781088963"
218,"Google Translate","0.34146114193643207","0.46051291957786894","0.3346887179645286"
219,"Marefa","0.1693118867961226","0.4095845087978014","0.2588365443821053"
220,"MarianMT","0.15215062221439782","0.3527289967263175","0.23048679476514983"
272,"Google Translate","0.1422626713087853","0.38332330407115744","0.23043751567848822"
251,"Google Translate","0.2301271559193434","0.388805192501756","0.27426559104062603"
221,"Fine-tuned MarianMT","0.15202778468270112","0.3737765938196738","0.23236446028524402"
222,"Google Translate","0.17770529370321908","0.3710401129986176","0.24244289940754557"
286,"MarianMT","0.14031293724618438","0.48057066019355554","0.3167017603693489"
252,"Marefa","0.20505397625021385","0.3556434549836584","0.2455562657178251"
223,"Marefa","0.22181697464097916","0.2925242383622814","0.19856425440217798"
224,"MarianMT","0.15314796495848468","0.3834606186593158","0.24617626564840092"
273,"Marefa","0.15084693992880785","0.3844300941788666","0.23525701371941476"
225,"Fine-tuned MarianMT","0.12953323152795407","0.31286945342913475","0.20960099030828866"
254,"MarianMT","0.3730862113702727","0.6675819974587408","0.48202773280526584"
226,"Google Translate","0.11511193218359382","0.4035784072782733","0.2596276584088282"
302,"MarianMT","0.2539075562099626","0.5259227292061764","0.3420610465916847"
227,"Marefa","0.14590565447720433","0.2965801461369073","0.22151997546811739"
255,"Fine-tuned MarianMT","0.27864126596377864","0.6135922163942717","0.4139614576091541"
228,"MarianMT","0.351110681038588","0.5848581250861072","0.424287654725225"
274,"MarianMT","0.2770533799999343","0.570583611344846","0.39863032139546156"
229,"Fine-tuned MarianMT","0.266535018785157","0.5429758703395168","0.38295050037060363"
256,"Google Translate","0.39693154659496077","0.6335779660414205","0.4721448379129568"
230,"Google Translate","0.2804287638427316","0.5551819098013676","0.39089647386382753"
287,"Fine-tuned MarianMT","0.09904434799850827","0.41829367348450014","0.27934867395030044"
231,"Marefa","0.2875179973956121","0.542442390946507","0.3728042519341613"
257,"Marefa","0.2728838474647624","0.6357966902806864","0.4358797526752261"
232,"MarianMT","0.3534489074860273","0.560594554300294","0.43124790490711523"
275,"Fine-tuned MarianMT","0.33791960426007195","0.619157084158256","0.46157323017922813"
233,"Fine-tuned MarianMT","0.2768627606285364","0.4991229072294141","0.37431573291174774"
258,"MarianMT","0.060148230158630814","0.1986892508986613","0.12836668761678618"
234,"Google Translate","0.36777770159400497","0.5123692146529005","0.41556319684954673"
296,"Google Translate","0.11331084931417273","0.23623581398178337","0.14883022113111197"
235,"Marefa","0.30066642046890824","0.5376713859345461","0.40727573674831674"
259,"Fine-tuned MarianMT","0.2658749986967611","0.3900741913568022","0.28075383580245905"
237,"MarianMT","0.40259228263384006","0.7079067494174699","0.5377799273836515"
276,"Google Translate","0.2975374745223244","0.6553969167734351","0.46089017628992984"
238,"Fine-tuned MarianMT","0.26222206453124053","0.6299953448113084","0.4512026450551403"
260,"Google Translate","0.19428085256566788","0.33873079917074644","0.22075205459618957"
239,"Google Translate","0.41792578014186227","0.6842156481100088","0.5217859720658246"
288,"Google Translate","0.10993914893710555","0.3772704179047036","0.25684269310859803"
240,"Marefa","0.3470603661943326","0.6627181219805225","0.4853164656228596"
261,"Marefa","0.18018017430099278","0.34169105278671563","0.22282253700890425"
241,"MarianMT","0.27301049209958167","0.6222367009112889","0.43178418934297597"
277,"Marefa","0.23612096140080752","0.44854548175047115","0.3206396552044035"
242,"Fine-tuned MarianMT","0.27728053698837446","0.613104277997474","0.4339317931115619"
262,"MarianMT","8.769781381717682e-103","0.318715291738487","0.19066276139509217"
243,"Google Translate","0.316137307829232","0.6016161399632948","0.4383182940460814"
244,"Marefa","0.2869883960393952","0.5381586749354658","0.38422590282819735"
263,"Fine-tuned MarianMT","0.09593060614183002","0.38067256983911674","0.23177033140817063"
245,"MarianMT","0.12446729148552328","0.49993276523107716","0.3289828369912157"
315,"Fine-tuned MarianMT","0.23621292021912577","0.5459696916127488","0.3705346186560024"
278,"MarianMT","0.24987719298087416","0.6253974734058663","0.4346896983603055"
246,"Fine-tuned MarianMT","0.11306296230345664","0.5182058885415127","0.3324778967087827"
264,"Google Translate","7.687782671203013e-103","0.28460824627849673","0.16506614537189265"
247,"Google Translate","0.1514429957773708","0.5353359829084974","0.3613643053305345"
289,"Marefa","0.10263831771820855","0.34163019526714383","0.2302549421050501"
248,"Marefa","0.07295943123749682","0.34016598793563735","0.21403605128285252"
265,"Marefa","0.07452907195414431","0.3119111714258023","0.17899037345694913"
249,"MarianMT","0.23116027670795983","0.3638243927040244","0.27028159944058155"
279,"Fine-tuned MarianMT","0.3266155945257086","0.6294377557230957","0.44723375628826567"
250,"Fine-tuned MarianMT","0.13098396804100482","0.33843801538838697","0.20320693559070094"
266,"MarianMT","0.2127544854605482","0.4281216989020913","0.28669895330138134"
297,"Marefa","0.1167745664250643","0.2894889422948462","0.17771061623152587"
267,"Fine-tuned MarianMT","0.20046823449288703","0.4366238173933583","0.2909372501979376"
280,"Google Translate","0.39228987698972556","0.6787597564836193","0.5075462641167383"
268,"Google Translate","0.20847213461089217","0.435637083000357","0.29349511809720674"
290,"MarianMT","0.05764345415347795","0.12817882227949032","0.07852865687576126"
269,"Marefa","0.19234870589346686","0.3205082229384816","0.22515433666987927"
281,"Marefa","0.2791925441119141","0.531920339055093","0.38909897078834654"
270,"MarianMT","0.12783912302093167","0.40906432649677676","0.2475047054095113"
303,"Fine-tuned MarianMT","0.24099858057540618","0.4766008162148336","0.3146054321620066"
271,"Fine-tuned MarianMT","0.09706092170191342","0.3880669354425416","0.2252674616669545"
291,"Fine-tuned MarianMT","6.057057376309933e-103","0.15096335153169171","0.08843633918536557"
282,"MarianMT","0.29862248341820485","0.5261660193792707","0.3742004445108772"
298,"MarianMT","0.48110027226454877","0.7669854548038189","0.6005732414839221"
283,"Fine-tuned MarianMT","0.30144356116472154","0.5560998399123342","0.3917974617897449"
292,"Google Translate","0.09593060614183006","0.1607334088628416","0.10598704902826288"
284,"Google Translate","0.4752384317175034","0.6774005475668438","0.5346623603323383"
307,"Fine-tuned MarianMT","0.10956799351870757","0.4464479869012701","0.2945391500873871"
285,"Marefa","0.31121607271885204","0.532482139888052","0.3876793368572474"
299,"Fine-tuned MarianMT","0.35699383731911905","0.598549040711762","0.445616293959717"
293,"Marefa","0.10117417799080133","0.176024574736513","0.11018769573489046"
304,"Google Translate","0.26036048973596093","0.5046266607554306","0.33479072193718"
294,"MarianMT","0.04894505592973575","0.24117436505929368","0.13885389320455085"
300,"Google Translate","0.5348319322787427","0.7609527721768539","0.6158477251319896"
295,"Fine-tuned MarianMT","0.04881752908051922","0.2621287453095164","0.15425172543050966"
313,"Marefa","0.1720339637232994","0.37826942272300645","0.2408983918090581"
310,"MarianMT","0.18252849564002058","0.3693849078544107","0.24352257331093521"
301,"Marefa","0.3334728320811142","0.45246243887622356","0.3489415798750211"
305,"Marefa","0.22764630224232188","0.490917539779746","0.3243099000723015"
308,"Google Translate","0.1824240190231796","0.5488272472471927","0.378360182858403"
306,"MarianMT","0.12086107508638952","0.4559624427604136","0.3053192811845882"
312,"Google Translate","0.20623829483768685","0.4517900408803777","0.29555913367163966"
309,"Marefa","0.09236146867073822","0.4596431484063277","0.29126258558809254"
311,"Fine-tuned MarianMT","0.15005151800302155","0.33142601523772813","0.22400598556678133"
314,"MarianMT","0.32479338337501856","0.5911197771111504","0.40757880962706183"
316,"Google Translate","0.2744688850296071","0.6039559978940472","0.4063343841921445"
317,"Marefa","0.23406857579267246","0.48892071021398825","0.3252133153683445"
318,"MarianMT","0.20205493850852477","0.4665418476332171","0.32507800158715994"
319,"Fine-tuned MarianMT","0.27752037738148727","0.5368826414986845","0.366065688437748"
320,"Google Translate","0.2959556654520496","0.4825684887150497","0.35545091262160877"
321,"Marefa","0.3662174324964915","0.5438841172082579","0.4139342990401248"
322,"MarianMT","0.245525505052637","0.5130854431126145","0.35790282364699283"
323,"Fine-tuned MarianMT","0.20018344309634714","0.472575877261305","0.31622376362310567"
324,"Google Translate","0.19943827083535393","0.4747806122601931","0.3202889884192325"
